Code,Short,Name (Eng),Name (Chi),Principal Office,Place Incorporated,Principal Activities,Industry Classification,Currency,Issued Shares,Authorised Shares,Par Value,Board Lot,Listing Date,Remark
00011,HANG SENG BANK,Hang Seng Bank Ltd.,恒生銀行有限公司,83 Des Voeux RoadCentralHong Kong,Hong Kong,Provision of banking and related financial services.,Financials - Banks - Banks (HSIC*),HKD,"1,911,842,736",N/A,N/A,100,20/6/1972,New
00012,HENDERSON LAND,Henderson Land Development Co. Ltd.,恒基兆業地產有限公司,72-76/FTwo Int'l Finance Centre8 Finance StreetCentral Hong Kong,Hong Kong,"Property development and investment, construction, infrastructure, hotel operation, finance, department store operation, project management, investment holding and property management.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"3,637,405,713",N/A,N/A,1000,23/7/1981,New
00014,HYSAN DEV,Hysan Development Co. Ltd.,希慎興業有限公司,"49/F., Lee Garden One33 Hysan AvenueCauseway BayHong Kong",Hong Kong,"Property investment, management and development.",Properties & Construction - Properties - Property Investment (HSIC*),HKD,"1,046,000,359",N/A,N/A,1000,18/9/1981,New
00015,VANTAGE INT'L,Vantage International (Holdings) Ltd.,盈信控股有限公司,No 155 Waterloo RoadKowloon TongKowloon Hong Kong,Bermuda,"Provision of construction, civil engineering, maintenance and other contract works in public and private sectors in Hong Kong, property investment and development.",Properties & Construction - Construction - Building Construction (HSIC*),HKD,"1,747,144,400","4,000,000,000",HKD 0.0250,2000,8/9/2000,New
00016,SHK PPT,Sun Hung Kai Properties Ltd.,新鴻基地產發展有限公司,45/F Sun Hung Kai Centre30 Harbour RoadWanchaiHong Kong,Hong Kong,"Development of and investment in properties for sale and rent, hotel operation, telecommunications, transportation, infrastructure and logistics.",Properties & Construction - Properties - Property Investment (HSIC*),HKD,"2,895,127,274",N/A,N/A,1000,8/9/1972,New
00017,NEW WORLD DEV,New World Development Co. Ltd.,新世界發展有限公司,30/F New World Tower18 Queen's RoadCentralHong Kong,Hong Kong,"Property investment and development, contracting, provision of services, infrastructure operations, telecommunication services, department store, hotel and restaurant operations and telecommunications, media and technology businesses.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"9,390,408,288",N/A,N/A,1000,23/11/1972,New
00018,ORIENTAL PRESS,Oriental Press Group Ltd.,東方報業集團有限公司,Oriental Press Centre23 Dai Cheong StreetTai Po Industrial EstateHong Kong,Hong Kong,Publication of newspapers.,Consumer Services - Media & Entertainment - Publishing (HSIC*),HKD,"2,397,917,898",N/A,N/A,2000,18/8/1987,New
00019,SWIRE PACIFIC A,Swire Pacific Ltd. 'A',太古股份有限公司 'A',"33rd Floor, One Pacific Place88 QueenswayHong Kong",Hong Kong,"Property, aviation, beverages, marine services and trading & industrial.",Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"905,206,000",N/A,N/A,500,N/A,New
00020,WHEELOCK,Wheelock and Co. Ltd.,會德豐有限公司,23/FWheelock House20 Pedder StreetHong Kong,Hong Kong,"Investment property, development property, hotels, logistics and communications, media and entertainment.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"2,031,849,287",N/A,N/A,1000,N/A,New
00021,GREAT CHI PPT,Great China Properties Holdings Ltd.,大中華地產控股有限公司,"Suite 6403A-4Central Plaza18 Harbour RoadWanchai, Hong Kong",Hong Kong,"Property development and investment, investment holding and security investment.",Properties & Construction - Properties - Property Investment (HSIC*),HKD,"3,312,698,406",N/A,N/A,5000,N/A,New
00022,MEXAN,Mexan Ltd.,茂盛控股有限公司,"7/F Mexan Harbour HotelHotel 2, Rambler CrestNo 1 Tsing Yi RoadNT Hong Kong",Bermuda,Hotel operation.,"Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Hotels & Resorts (HSIC*)",HKD,"1,310,925,244","3,000,000,000",HKD 0.0200,40000,14/12/1972,New
00023,BANK OF E ASIA,"Bank of East Asia, Ltd., The",東亞銀行有限公司,Bank of East Asia Bldg10 Des Voeux RoadCentralHong Kong,Hong Kong,"Provision of banking and related financial services, and business, corporate and investor services.",Financials - Banks - Banks (HSIC*),HKD,"2,683,153,633",N/A,N/A,200,N/A,New
00024,BURWILL,Burwill Holdings Ltd.,寶威控股有限公司,14/F Office TowerConvention Plaza1 Harbour RoadWanchai Hong Kong,Bermuda,"Trading of steel, processing of steel, mineral resources and commercial property.",Materials - Diversified Metals & Minerals - Iron & Steel (HSIC*),HKD,"5,029,256,235","6,800,000,000",HKD 0.1000,2000,15/9/1983,New
00025,CHEVALIER INT'L,Chevalier International Holdings Ltd.,其士國際集團有限公司,22/F Chevalier Comm. Centre8 Wang Hoi RoadKowloon BayKowloon Hong Kong,Bermuda,"Construction and engineering, insurance and investment, property, food and beverage. computer and information communication technology and others.",Properties & Construction - Construction - Building Construction (HSIC*),HKD,"301,928,440","540,000,000",HKD 1.2500,2000,5/12/1984,New
00026,CHINA MOTOR BUS,"China Motor Bus Co., Ltd.",中華汽車有限公司,391 Chai Wan RoadChai WanHong Kong,Hong Kong,Properties development and investment.,Properties & Construction - Properties - Property Development (HSIC*),HKD,"45,308,056",N/A,N/A,200,N/A,New
00027,GALAXY ENT,Galaxy Entertainment Group Ltd.,銀河娛樂集團有限公司,Room 1606 16/FHutchison House10 Harcourt Road CentralHong Kong,Hong Kong,"Operation in casino games of chance or games of other forms, provision of hospitality and related services, and the manufacture, sale and distribution of construction materials.","Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Casinos & Gaming (HSIC*)",HKD,"4,268,637,362",N/A,N/A,1000,7/10/1991,New
00028,TIAN AN,Tian An China Investments Co. Ltd.,天安中國投資有限公司,22/F Allied Kajima Building138 Gloucester RoadWanchaiHong Kong,Hong Kong,"Property development and investment, golf course operation, provision of hotel and property management and investment holding.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"1,506,769,491",N/A,N/A,1000,18/3/1987,New
00029,DYNAMIC HOLD,Dynamic Holdings Ltd.,達力集團有限公司,17/F Eton Tower8 Hysan AvenueCauseway BayHong Kong,Bermuda,Property investment and development.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"224,816,181","300,000,000",HKD 1.0000,2000,N/A,New
00030,BAN LOONG HOLD,Ban Loong Holdings Ltd.,萬隆控股集團有限公司,"Room 2709-10, 27/FChina Resources BuildingNo 26 Harbour RoadWanchai, Hong Kong",Bermuda,"Providing financial quotation services, wireless applications development, securities trading system licensing and mining operations.",Information Technology - Software & Services - Software (HSIC*),HKD,"2,670,663,200","6,000,000,000",HKD 0.0100,2000,9/10/1991,New
00031,CHINA AEROSPACE,China Aerospace International Holdings Ltd.,中國航天國際控股有限公司,Room 1103-1107A11/F One Harbourfront18 Tak Fung StreetHunghom Kowloon Hong Kong,Hong Kong,"Manufacturing and distribution of plastic products, liquid crystal display, printed circuit boards, intelligent chargers, polyimide films and other products; property investment and trading of electronic products.",Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*),HKD,"3,085,021,882",N/A,N/A,2000,25/8/1981,New
00032,CROSS-HAR(HOLD),"Cross-Harbour (Holdings) Ltd., The",港通控股有限公司,Room 3301-07China Resources Building26 Harbour RoadWanchai Hong Kong,Hong Kong,"Operation of motoring schools, tunnels and an electronic toll collection system, and investment.",Industrials - Industrial Transportation - Railway & Tollroad Operation (HSIC*),HKD,"372,688,206",N/A,N/A,1000,30/7/1974,New
00033,ASIA INV FIN,Asia Investment Finance Group Ltd.,亞投金融集團有限公司,"Unit 3501-3502Bank of America Tower12 Harcourt RoadCentral, Hong Kong",Cayman Islands,"Credit guarantee and investment business in the PRC, the trading of party products business and trading of metal and mineral business.",Consumer Goods - Household Goods & Electronics - Toys & Leisure Products (HSIC*),HKD,"9,368,072,000","100,000,000,000",HKD 0.1000,2000,19/11/2007,New
00034,KOWLOON DEV,Kowloon Development Co. Ltd.,九龍建業有限公司,23/F Pioneer Centre750 Nathan RoadKowloonHong Kong,Hong Kong,Development and investment of property; and the holding of investments.,Properties & Construction - Properties - Property Development (HSIC*),HKD,"1,150,681,275",N/A,N/A,1000,4/7/1995,New
00035,FE CONSORT INTL,Far East Consortium International Ltd.,遠東發展有限公司,16/F Far East Consortium Bldg121 Des Voeux RoadCentralHong Kong,Cayman Islands,"Property development, property investment, hotel operations and management, car park operations and securities and financial product investments.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"2,131,709,116","4,000,000,000",HKD 0.1000,1000,21/9/1972,New
00036,FE HLDGS INTL,Far East Holdings International Ltd.,遠東控股國際有限公司,"Unit 904, 9/FWings Building110-116 Queen's Road CentralCentral, Hong Kong",Hong Kong,"Manufacturing and sale of garments, short term securities investment and property investment.","Consumer Goods - Textiles, Clothing & Personal Care - Apparel (HSIC*)",HKD,"1,089,118,593",N/A,N/A,3000,12/2/1973,New
00037,FE HOTELS,Far East Hotels & Entertainment Ltd.,遠東酒店實業有限公司,"Suite 1902, 19th FloorThe Sun's Group Centre200 Gloucester RoadWanchai, Hong Kong",Hong Kong,"Hotel operation, property letting, securities investment and trading, and investment holding.","Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Hotels & Resorts (HSIC*)",HKD,"602,110,675",N/A,N/A,2000,3/7/1979,New
00038,FIRST TRACTOR,First Tractor Co Ltd. - H Shares,第一拖拉機股份有限公司 - H股,154 Jian She RoadLuoyangHenan ProvincePRC,PRC,"Manufacturing and selling agricultural machineries, diesel engines and fuel injections, other machineries and operating business of finance company.","Industrials - Industrial Engineering - Heavy Industrial Machinery (HSIC*)                     
				Industrials (CSIC**)",HKD,"401,990,000",N/A,RMB 1.0000,2000,23/6/1997,New
00039,CH BEIDAHUANG,China Beidahuang Industry Group Holdings Ltd.,中國北大荒產業集團控股有限公司,"Unit 1302B, 13/FEast Ocean Centre98 Granville RoadTsim Sha Tsui, Kowloon, HK",Cayman Islands,Sales and distribution of wine and liquor; and production and sale of forages.,Consumer Goods - Food & Beverages - Alcohols (HSIC*),HKD,"4,660,601,752","8,000,000,000",HKD 0.1000,8000,16/1/2001,New
00040,GOLD PEAK,Gold Peak Industries (Holdings) Ltd.,金山工業(集團)有限公司,"9/F, Building 12W12 Science Park West AvenuePhase 3,Hong Kong Science ParkPak Shek Kok, NT, HK",Hong Kong,"Development, manufacture and distribution of electronics and acoustic products, automotive wire harness and other businesses; batteries and battery related products; holding of other investments in selling and distribution business.",Consumer Goods - Household Goods & Electronics - Consumer Electronics (HSIC*),HKD,"784,692,952",N/A,N/A,1000,2/7/1984,New
00041,GREAT EAGLE H,Great Eagle Holdings Ltd.,鷹君集團有限公司,33/F Great Eagle Centre23 Harbour RoadWanchaiHong Kong,Bermuda,"Property development and investment, hotel and restaurant operations, manager of REIT, trading of building materials, share investment, provision of management and maintenance services, property management and fitness centre operation.",Properties & Construction - Properties - Property Investment (HSIC*),HKD,"676,583,835","1,200,000,000",HKD 0.5000,1000,N/A,New
00042,NE ELECTRIC,Northeast Electric Development Co. Ltd. - H Shares,東北電氣發展股份有限公司 - H股,"No 1, Xintai Road, Xiongyue ToBayuquan District,Yingkou CityLiaoning Province, the PRCPostcode: 115009",PRC,"Production and sales of power transmission equipment and related accessories, provision of relevant after-sale services, and provision of power transmission technology developing, consulting, transferring and testing services.",Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*),HKD,"257,950,000",N/A,RMB 1.0000,2000,6/7/1995,New
00043,C.P. POKPHAND,C. P. Pokphand Co. Ltd.,卜蜂國際有限公司,21/FFar East Finance Centre16 Harcourt RoadHong Kong,Bermuda,"Manufacture and sale of animal feed products; breeding, farming and sale of livestock, aquatic animals and value-added processed food products.",Consumer Goods - Agricultural Products - Animal Feeds (HSIC*),HKD,"24,071,837,232","36,000,000,000",USD 0.0100,2000,28/4/1988,New
00044,HAECO,Hong Kong Aircraft Engineering Co. Ltd.,香港飛機工程有限公司,"33rd Floor, One Pacific Place88 QueenswayHong Kong",Hong Kong,"Commercial aircraft overhaul, modification and maintenance.",Consumer Services - Transportation - Airlines (HSIC*),HKD,"166,324,850",N/A,N/A,400,N/A,New
00045,HK&S; HOTELS,"Hongkong and Shanghai Hotels, Ltd., The",香港上海大酒店有限公司,8/F St George's Bldg2 Ice House StreetCentralHong Kong,Hong Kong,"Ownership, development, and management of prestigious hotels and commercial and residential properties in Asia, the United States and Europe; and provision of tourism and leisure, club management and other services.","Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Hotels & Resorts (HSIC*)",HKD,"1,561,560,867",N/A,N/A,500,N/A,New
00046,COMPUTER & TECH,Computer And Technologies Holdings Ltd.,科聯系統集團有限公司,"Level 10, Cyberport 2100 Cyberport RoadHong Kong",Bermuda,"Provision of enterprise applications software and related services, business process outsourcing, e-business; provision of system and network integration, IT solutions development and implementation, and property and treasury investments.",Information Technology - Software & Services - System Applications & IT Consulting (HSIC*),HKD,"244,194,198","1,000,000,000",HKD 0.1000,2000,18/5/1998,New
00047,HOP HING GROUP,Hop Hing Group Holdings Ltd.,合興集團控股有限公司,"Flats E & F,2/F, Hop Hing Bldg9 Ping Tong Street EastTong Yan San Tsuen, Yuen LongNew Territories, Hong Kong",Cayman Islands,Operation of quick service restaurants business in the Northern China.,"Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Restaurants (HSIC*)",HKD,"10,070,431,786","14,800,000,000",HKD 0.1000,4000,16/11/1988,New
00048,C AUTO INT DECO,China Automotive Interior Decoration Holdings Ltd.,中國汽車內飾集團有限公司,"Workshop Nos.22-23, 6/FCorporation Park11 On Lai Street, Sha TinNew Territories, Hong Kong",Cayman Islands,Manufacture and sale of nonwoven fabric products used in automotive interior decoration parts and other parts and trading of rubber and garment accessories.,"Consumer Goods - Textiles, Clothing & Personal Care - Textiles & Fabrics (HSIC*)",HKD,"1,658,880,000","10,000,000,000",HKD 0.1000,10000,29/9/2010(Transferred from GEM on 25/8/2014),New
00050,HK FERRY (HOLD),Hong Kong Ferry (Holdings) Co. Ltd.,香港小輪(集團)有限公司,"98 Tam Kon Shan RoadTYTL 102Ngau Kok Wan, North Tsing YiNew Territories, Hong Kong",Hong Kong,"Property development, property investment, ferry, shipyard and related businesses, travel operation and securities investment.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"356,273,883",N/A,N/A,1000,N/A,New
00051,HARBOUR CENTRE,Harbour Centre Development Ltd.,海港企業有限公司,16/F Ocean CentreHarbour CityCanton Road KowloonHong Kong,Hong Kong,"Development property, investment property and hotel.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"708,750,000",N/A,N/A,1000,N/A,New
00052,FAIRWOOD HOLD,Fairwood Holdings Ltd.,大快活集團有限公司,2/F TRP Commercial Centre18 Tanner RoadNorth PointHong Kong,Bermuda,Operation of fast food restaurants and property investments.,"Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Restaurants (HSIC*)",HKD,"127,280,280","240,000,000",HKD 1.0000,500,9/10/1991,New
00053,GUOCO GROUP,Guoco Group Ltd.,國浩集團有限公司,50/F The Center99 Queen's Road CentralHong Kong,Bermuda,"Proprietary asset management, property development and investment, hospitality and leisure business, stock and commodity broking, investment advisory, banking and financing, insurance, fund management and merchant banking.",Financials - Other Financials - Investment & Asset Management (HSIC*),HKD,"329,051,373","1,000,000,000",USD 0.5000,1000,3/5/1983,New
00054,HOPEWELL HOLD,Hopewell Holdings Ltd.,合和實業有限公司,64/FHopewell Centre183 Queen's Road EastHong Kong,Hong Kong,"Investment in toll roads and power plant, property development and investment, property agency and management, hotel ownership and management, restaurant operations and food catering.",Conglomerates - Conglomerates - Conglomerates (HSIC*),HKD,"869,839,121",N/A,N/A,500,21/8/1972,New
00055,NEWAY GROUP,Neway Group Holdings Ltd.,中星集團控股有限公司,Chung Tai Printing Group Bldg.11 Yip Cheong StreetOn Lok Tsuen FanlingNew Territories Hong Kong,Bermuda,"Manufacturing and sales of printing products; trading of printing products; artistes management, production and distribution of music albums and movies; property development and investment; securities trading; and money lending.",Industrials - Commercial & Professional Services - Printing & Packaging (HSIC*),HKD,"211,369,456","50,000,000,000",HKD 0.0100,10000,10/9/1992,New
00056,ALLIED PPT (HK),Allied Properties (HK) Ltd.,聯合地產(香港)有限公司,22/F Allied Kajima Building138 Gloucester RoadWanchaiHong Kong,Hong Kong,"Investment, broking and finance, consumer finance, property rental, hotel operations and management services, sales of properties and property based investments.",Financials - Other Financials - Financing (HSIC*),HKD,"6,812,201,460",N/A,N/A,2000,N/A,New
00057,CHEN HSONG HOLD,Chen Hsong Holdings Ltd.,震雄集團有限公司,13-15 Dai Wang StreetTai Po Industrial EstateTai PoNT Hong Kong,Bermuda,Manufacture and sale of plastic injection moulding machines and related products.,Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*),HKD,"630,531,600","1,000,000,000",HKD 0.1000,2000,22/10/1991,New
00058,SUNWAY INT'L,Sunway International Holdings Ltd.,新威國際控股有限公司,"Unit 1902Cheung Kong Center2 Queen's Road CentralCentral, Hong Kong",Bermuda,"Manufacturing and trading of pre-stressed steel bars, pre-stressed high strength concrete piles, ready-mixed concrete, sand-lime bricks, aerated concrete products and eco-concrete products.",Consumer Goods - Household Goods & Electronics - Consumer Electronics (HSIC*),HKD,"4,393,403,246","100,000,000,000",HKD 0.0100,20000,3/9/1999,New
00059,SKYFAME REALTY,Skyfame Realty (Holdings) Ltd.,天譽置業(控股)有限公司,"Unit 1401, 14th FloorAXA Centre151 Gloucester RoadWanchai, Hong Kong",Bermuda,"Property development, property investment and property management.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"2,616,531,175","30,000,000,000",HKD 0.0100,2000,16/11/1993,New
00060,HK FOOD INV,Hong Kong Food Investment Holdings Ltd.,香港食品投資控股有限公司,Four Seas eFood Centre2 Hong Ting RoadSai KungHong Kong,Hong Kong,"Trading of frozen meats, seafood & vegetables; retailing of consumer goods; investment holding; manufacturing & trading of snack foods, confectionery, beverages, frozen food products, noodles, ham & ham-related products;operate restaurants.",Consumer Goods - Food & Beverages - Packaged Foods (HSIC*),HKD,"259,586,000",N/A,N/A,2000,16/12/1992,New
00061,NORTH ASIA RES,North Asia Resources Holdings Ltd.,北亞資源控股有限公司,"Units 2001-2, 20th FloorLi Po Chun Chambers189 Des Voeux Road CentralHong Kong",Bermuda,"Sales of information technology products, system integration, software development, technology service and comprehensive product solution and geological survey, exploration and development of coal, sales of coking coal and coal trading.",Materials - Diversified Metals & Minerals - Other Metals & Minerals (HSIC*),HKD,"58,663,363,407","200,000,000,000",HKD 0.0100,5000,6/7/1999,New
00062,TRANSPORT INT'L,Transport International Holdings Ltd.,載通國際控股有限公司,9 Po Lun StreetLai Chi LokKowloonHong Kong,Bermuda,"Operation of both franchised and non-franchised public transportation, property holdings and development and the provision of media sales services.",Consumer Services - Transportation - Public Transport (HSIC*),HKD,"409,051,508","600,000,000",HKD 1.0000,400,N/A,New
00063,WINFOONG INT'L,Winfoong International Ltd.,榮豐國際有限公司,"Rooms 1904-1916, 19/FSun Hung Kai Centre30 Harbour RoadWanchai, Hong Kong",Bermuda,"Property development and construction, property management, provision of horticultural services and securities trading.",Properties & Construction - Properties - Property Development (HSIC*),HKD,"2,819,102,084","20,000,000,000",HKD 0.0500,1000,26/2/1986,New
00064,GET NICE,Get Nice Holdings Ltd.,結好控股有限公司,10th Floor COSCO TowerGrand Millennium Plaza183 Queen's Road CentralHong Kong,Cayman Islands,Money lending; property development and holding and investment in financial instruments; real estate brokerage and provision of financial services.,Financials - Other Financials - Securities & Brokerage (HSIC*),HKD,"6,710,213,938","30,000,000,000",HKD 0.1000,2000,6/6/2002,New
00065,GRAND OCEAN AR,Grand Ocean Advanced Resources Co. Ltd.,弘海高新資源有限公司,"Suite No 3, 31st FloorSino Plaza255-257 Gloucester RoadHong Kong",Cayman Islands,"Manufacturing and sale of plastic woven bags, paper bags and plastic barrels, sale of coal and provision of low-rank coal upgrading services.",Energy - Coal - Coal (HSIC*),HKD,"503,477,166","2,000,000,000",HKD 0.5000,4000,30/8/2001(Transferred from GEM on 22/6/2009),New
00066,MTR CORPORATION,MTR Corporation Ltd.,香港鐵路有限公司,"MTR Headquarters BuildingTelford Plaza, Kowloon BayKowloon, Hong Kong",Hong Kong,"Railway design, construction, operation, maintenance and investment in Hong Kong, the Mainland of China and overseas cities; project management; station commercial business; property business; and investment in Octopus Holdings Limited.",Consumer Services - Transportation - Public Transport (HSIC*),HKD,"5,899,032,039",N/A,N/A,500,5/10/2000,New
00067,LUMENA NEWMAT,China Lumena New Materials Corp.,中國旭光高新材料集團有限公司,"22/F	Prince's BuildingCentral, Hong Kong",Cayman Islands,"Processing and sale of powder thenardite, specialty thenardite and medical thenardite.",Materials - Basic Materials - Specialty Chemicals (HSIC*),HKD,"5,603,859,393","10,000,000,000",USD 0.00001,2000,16/6/2009,New
00068,LEE HING,Lee Hing Development Ltd.,利興發展有限公司,Suites 1506-07 15/FNine Queen's Road CentralHong Kong,Hong Kong,"Property investment, property development, investment holding, general investment and sales and purchases of securities.",Financials - Other Financials - Investment & Asset Management (HSIC*),HKD,"147,266,285",N/A,N/A,1000,9/11/1972,New
00069,SHANGRI-LA ASIA,Shangri-La Asia Ltd.,香格里拉(亞洲)有限公司,"28/F., Kerry Centre683 King's RoadQuarry BayHong Kong",Bermuda,"Ownership and operation of hotels and associated properties and the provision of hotel management and related services, leasing of office, commercial, residential and exhibition hall space and serviced apartments.","Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Hotels & Resorts (HSIC*)",HKD,"3,580,024,056","5,000,000,000",HKD 1.0000,2000,17/6/1993,New
00070,NEPTUNE GROUP,Neptune Group Ltd.,海王國際集團有限公司,"Room 3328C, 33th FloorChina Merchants TowerShun Tak Centre168-200 Connaught Rd C, HK",Hong Kong,Receive of profit streams from gaming and entertainment related business.,"Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Casinos & Gaming (HSIC*)",HKD,"692,436,675",N/A,N/A,10000,N/A,New
00071,MIRAMAR HOTEL,Miramar Hotel & Investment Co. Ltd.,美麗華酒店企業有限公司,15/FMiramar Tower132 Nathan RoadTsim Sha Tsui Kln Hong Kong,Hong Kong,"Property rental, hotels and serviced apartments, food and beverage operation and travel operation.","Consumer Services - Hotels, Casinos, Restaurants & Leisure Facilities - Travel & Tourism (HSIC*)",HKD,"577,483,014",N/A,N/A,1000,N/A,New
00072,MODERN MEDIA,Modern Media Holdings Ltd.,現代傳播控股有限公司,"7/F, Global Trade Square21 Wong Chuk Hang RoadAberdeenHong Kong",Cayman Islands,"Provision of multi-media advertising services, printing and distribution of magazines, provision of advertising-related services, artwork trading and related services.",Consumer Services - Media & Entertainment - Publishing (HSIC*),HKD,"438,352,659","8,000,000,000",HKD 0.0100,2000,9/9/2009,New
00073,ASIAN CITRUS,Asian Citrus Holdings Ltd.,亞洲果業控股有限公司,"Suite 2609-11, 26/FGreat Eagle Centre23 Harbour RoadWanchai, Hong Kong",Bermuda,"Planting, cultivation and sale of agricultural produce and manufacture and sale of fruit juice concentrates, fruit purees, frozen fruits and vegetables.",Consumer Goods - Agricultural Products - Agricultural Products (HSIC*),HKD,"1,249,637,884","2,000,000,000",HKD 0.0100,1000,26/11/2009,New
00075,Y.T. REALTY,Y. T. Realty Group Ltd.,渝太地產集團有限公司,Rooms 3301-07China Resources Building26 Harbour RoadWanchai Hong Kong,Bermuda,Property investment and trading; provision of property management and related services; and investment holding.,Properties & Construction - Properties - Property Investment (HSIC*),HKD,"799,557,415","1,500,000,000",HKD 0.1000,2000,12/11/1984,New
00076,SOUTH SEA PETRO,South Sea Petroleum Holdings Ltd.,南海石油控股有限公司,"Unit 1002,10/F,Euro Trade Ctr13-14 Connaught Road Central &21-23 Des Voeux Road CentralHong Kong",Hong Kong,"Develop, explore and produce crude oil and mining, such as graphite, in Asian countries, provide electronic manufacturing services in the United Kingdom.",Industrials - Industrial Engineering - Industrial Components & Equipment (HSIC*),HKD,"2,370,229,078",N/A,N/A,4000,24/9/1984,New
